Timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0,0.03,-0.05,0.95,-4.37,-4.0,-0.82
0.01,0.03,-0.05,0.94,-2.72,-0.31,1.02
0.02,0.05,-0.04,0.95,-0.95,0.58,2.06
0.03,0.05,-0.03,0.94,0.11,-0.53,1.36
0.04,0.06,-0.03,0.92,0.35,-2.18,0.24
0.05,0.07,-0.03,0.9,-0.46,-3.47,-1.01
0.060000000000000005,0.07,-0.03,0.88,-3.34,-3.04,-2.15
0.07,0.06,-0.03,0.9,-5.54,-2.11,-3.08
0.08,0.05,-0.04,0.92,-6.49,-5.11,-2.96
0.09,0.04,-0.05,0.96,-7.05,-3.82,-1.86
0.09999999999999999,0.05,-0.08,1.0,-5.1,-0.02,-1.27
0.10999999999999999,0.03,-0.09,1.02,-0.63,2.27,-0.4
0.11999999999999998,0.03,-0.08,1.02,2.81,1.73,1.56
0.12999999999999998,0.05,-0.07,1.01,5.4,2.76,2.69
0.13999999999999999,0.06,-0.05,0.99,8.38,2.15,2.44
0.15,0.07,-0.04,0.96,9.31,-0.4,1.56
0.16,0.07,-0.01,0.97,8.4,-3.25,0.08
0.17,0.07,0.01,0.96,7.28,-5.22,-1.33
0.18000000000000002,0.07,0.04,0.96,7.28,-5.53,-1.33
0.19000000000000003,0.09,0.05,0.95,7.65,-4.66,-1.69
0.20000000000000004,0.09,0.06,0.97,12.26,-2.98,-2.81
0.21000000000000005,0.07,0.07,0.95,13.83,-1.39,-4.55
0.22000000000000006,0.06,0.06,0.95,14.95,-0.02,-5.83
0.23000000000000007,0.05,0.08,0.95,16.15,-0.64,-6.69
0.24000000000000007,0.03,0.1,0.93,15.27,-3.45,-6.4
0.25000000000000006,0.01,0.12,0.92,13.42,-7.92,-4.31
0.26000000000000006,0.03,0.14,0.9,8.46,-9.04,-2.93
0.2700000000000001,0.04,0.14,0.89,5.57,-8.15,-3.6
0.2800000000000001,0.05,0.16,0.89,3.18,-6.99,-5.01
0.2900000000000001,0.04,0.15,0.91,3.19,-4.64,-6.61
0.3000000000000001,0.01,0.16,0.94,3.77,-2.93,-7.1
0.3100000000000001,-0.01,0.16,0.95,5.22,1.4,-6.21
0.3200000000000001,-0.05,0.18,0.94,8.64,0.55,-2.95
0.3300000000000001,-0.09,0.2,0.91,6.35,-6.56,4.46
0.34000000000000014,-0.04,0.22,0.92,2.98,-7.04,10.98
0.35000000000000014,0.06,0.21,0.9,-0.67,-5.63,10.7
0.36000000000000015,0.12,0.2,0.92,-2.41,-14.81,5.76
0.37000000000000016,0.19,0.19,0.94,-1.51,-19.31,-1.45
0.38000000000000017,0.23,0.17,0.92,-0.46,-14.0,-12.38
0.3900000000000002,0.2,0.16,0.95,0.23,-7.27,-21.92
0.4000000000000002,0.14,0.16,0.98,1.19,-2.72,-26.73
0.4100000000000002,0.06,0.15,1.01,4.81,2.24,-24.24
0.4200000000000002,-0.02,0.13,1.04,6.11,-0.2,-18.52
0.4300000000000002,-0.08,0.11,1.05,8.2,-7.3,-9.85
0.4400000000000002,-0.05,0.11,1.05,8.56,-18.63,-0.06
0.45000000000000023,0.05,0.12,1.03,7.36,-33.79,5.25
0.46000000000000024,0.13,0.1,1.01,6.66,-37.71,5.71
0.47000000000000025,0.21,0.06,0.96,5.98,-34.9,-1.4
0.48000000000000026,0.16,0.05,0.94,4.17,-38.23,-9.86
0.49000000000000027,0.12,0.07,0.98,0.92,-31.15,-15.19
0.5000000000000002,0.04,0.08,0.99,0.38,-24.09,-15.34
0.5100000000000002,-0.05,0.12,1.0,-2.27,-23.8,-8.66
0.5200000000000002,-0.05,0.17,1.05,-2.78,-21.3,3.54
0.5300000000000002,-0.04,0.2,1.05,-0.43,-23.91,19.11
0.5400000000000003,0.1,0.16,0.97,-0.73,-23.37,27.44
0.5500000000000003,0.23,0.13,0.86,-5.54,-24.75,26.64
0.5600000000000003,0.36,0.07,0.76,-17.59,-27.86,17.39
0.5700000000000003,0.46,0.02,0.78,-31.01,-25.22,-0.56
0.5800000000000003,0.39,0.01,0.87,-38.32,-12.32,-18.44
0.5900000000000003,0.26,-0.0,0.99,-42.06,7.18,-24.08
0.6000000000000003,0.06,-0.02,1.08,-40.96,17.48,-20.26
0.6100000000000003,-0.08,-0.03,1.15,-33.07,14.78,-7.6
0.6200000000000003,-0.12,-0.03,1.15,-20.76,12.41,7.66
0.6300000000000003,-0.12,-0.04,1.06,-11.3,4.31,21.83
0.6400000000000003,0.06,-0.05,0.91,-13.39,-2.06,28.26
0.6500000000000004,0.12,-0.07,0.83,-17.42,-15.69,23.95
0.6600000000000004,0.21,-0.11,0.81,-19.65,-22.35,17.59
0.6700000000000004,0.33,-0.18,0.78,-21.36,-13.94,4.56
0.6800000000000004,0.38,-0.24,0.86,-27.79,1.95,-11.28
0.6900000000000004,0.32,-0.28,1.06,-19.02,21.28,-23.56
0.7000000000000004,0.15,-0.27,1.2,-4.52,30.41,-28.95
0.7100000000000004,-0.03,-0.24,1.18,5.65,31.76,-27.22
0.7200000000000004,-0.12,-0.15,1.1,4.81,20.41,-17.82
0.7300000000000004,-0.14,-0.05,1.01,-2.66,6.56,-7.34
0.7400000000000004,-0.16,-0.0,0.92,-11.83,-10.7,7.15
0.7500000000000004,-0.08,0.03,0.85,-18.47,-17.48,17.74
0.7600000000000005,0.01,0.01,0.78,-22.63,-23.18,21.85
0.7700000000000005,0.22,-0.08,0.66,-24.98,-17.62,12.66
0.7800000000000005,0.32,-0.17,0.66,-21.18,-11.8,-3.39
0.7900000000000005,0.34,-0.22,0.85,-18.21,-9.77,-17.33
0.8000000000000005,0.25,-0.25,1.04,-12.03,-2.87,-26.35
0.8100000000000005,0.15,-0.28,1.16,-8.63,2.37,-28.7
0.8200000000000005,0.04,-0.25,1.19,-9.08,6.64,-26.46
0.8300000000000005,-0.16,-0.22,1.18,-3.33,-12.15,-17.31
0.8400000000000005,-0.14,-0.16,1.1,5.69,-20.76,-3.98
0.8500000000000005,0.02,-0.09,0.84,1.18,2.58,7.88
0.8600000000000005,0.02,-0.11,0.73,-2.9,-17.8,12.29
0.8700000000000006,0.18,-0.08,0.52,-13.27,-21.65,11.01
0.8800000000000006,0.22,-0.08,0.53,-27.94,-19.44,5.69
0.8900000000000006,0.2,-0.09,0.62,-36.43,-23.65,0.44
0.9000000000000006,0.13,-0.1,0.79,-37.1,-24.49,3.27
0.9100000000000006,0.23,-0.13,0.92,-35.47,-11.02,3.31
0.9200000000000006,0.17,-0.14,1.02,-30.05,-8.31,2.46
0.9300000000000006,0.11,-0.16,1.03,-21.6,-10.11,6.58
0.9400000000000006,0.17,-0.18,1.0,-14.4,-3.4,6.87
0.9500000000000006,0.24,-0.2,0.96,-6.38,7.95,6.49
0.9600000000000006,0.27,-0.23,0.8,-1.65,9.18,-1.13
0.9700000000000006,0.18,-0.28,0.64,-9.73,-15.45,-6.4
0.9800000000000006,0.07,-0.31,0.7,-17.77,-26.29,-3.13
0.9900000000000007,-0.06,-0.36,0.8,-20.92,-31.44,7.6
1.0000000000000007,-0.0,-0.4,0.98,-14.72,-32.67,20.47
1.0100000000000007,0.03,-0.41,1.14,-0.9,-33.33,29.25
1.0200000000000007,0.29,-0.4,1.16,5.08,-18.12,31.1
1.0300000000000007,0.41,-0.34,1.14,10.73,5.31,21.07
1.0400000000000007,0.36,-0.26,1.02,16.24,5.85,10.41
1.0500000000000007,0.35,-0.21,0.79,15.77,-9.47,-0.38
1.0600000000000007,0.3,-0.19,0.63,-0.92,-20.47,-8.23
1.0700000000000007,0.26,-0.18,0.61,-15.42,-12.63,-9.45
1.0800000000000007,0.18,-0.21,0.65,-25.4,-11.04,-5.25
1.0900000000000007,0.12,-0.23,0.79,-26.99,-3.21,3.48
1.1000000000000008,0.09,-0.25,0.87,-23.79,2.84,13.47
1.1100000000000008,0.2,-0.27,0.92,-19.48,6.66,19.16
1.1200000000000008,0.42,-0.28,0.96,-13.47,14.32,10.98
1.1300000000000008,0.39,-0.3,0.97,-6.32,17.04,0.5
1.1400000000000008,0.33,-0.28,0.87,-2.31,17.31,-10.27
1.1500000000000008,0.24,-0.29,0.76,-5.36,-0.58,-15.16
1.1600000000000008,0.18,-0.29,0.81,-14.15,-2.76,-13.95
1.1700000000000008,0.02,-0.31,0.89,-20.37,-3.16,-5.31
1.1800000000000008,-0.1,-0.32,1.01,-18.76,3.11,11.82
1.1900000000000008,-0.15,-0.4,0.98,-9.05,1.25,31.44
1.2000000000000008,-0.05,-0.46,0.96,0.23,-6.11,42.03
1.2100000000000009,0.23,-0.3,1.12,4.4,-19.02,37.21
1.2200000000000009,0.35,-0.37,1.0,13.18,7.66,20.21
1.2300000000000009,0.24,-0.32,0.87,11.98,-4.15,10.12
1.2400000000000009,0.17,-0.31,0.79,6.4,-24.52,5.82
1.2500000000000009,0.22,-0.29,0.85,-2.87,-23.15,6.26
1.260000000000001,0.24,-0.27,0.91,-7.65,-15.63,6.87
1.270000000000001,0.25,-0.3,0.95,-2.89,0.61,8.72
1.280000000000001,0.26,-0.33,0.9,-0.02,11.66,9.24
1.290000000000001,0.23,-0.31,0.88,-0.58,9.04,7.6
1.300000000000001,0.23,-0.32,0.94,-4.15,7.86,3.97
1.310000000000001,0.28,-0.3,0.99,-6.78,6.27,-3.08
1.320000000000001,0.18,-0.27,0.86,-11.31,2.61,-7.91
1.330000000000001,0.21,-0.27,0.78,-16.69,2.18,-9.59
1.340000000000001,0.23,-0.29,0.77,-24.93,-9.4,-15.05
1.350000000000001,0.27,-0.34,0.85,-31.45,-11.39,-19.65
1.360000000000001,0.29,-0.34,0.95,-38.38,-12.78,-24.14
1.370000000000001,0.19,-0.38,1.06,-38.96,-8.87,-22.89
1.380000000000001,0.09,-0.43,1.1,-29.22,7.45,-16.44
1.390000000000001,0.01,-0.42,1.01,-13.91,15.4,-5.13
1.400000000000001,0.0,-0.4,0.92,-1.69,20.47,5.97
1.410000000000001,0.07,-0.38,0.83,0.15,19.13,10.81
1.420000000000001,0.12,-0.34,0.8,-3.68,6.41,10.15
1.430000000000001,0.21,-0.33,0.78,-11.36,-10.7,5.66
1.440000000000001,0.25,-0.32,0.77,-20.98,-31.42,-1.36
1.450000000000001,0.38,-0.34,0.84,-28.46,-43.44,-12.41
1.460000000000001,0.41,-0.31,0.96,-25.48,-33.19,-24.38
1.470000000000001,0.25,-0.33,1.03,-6.9,-21.51,-29.57
1.480000000000001,0.14,-0.37,1.01,7.62,-3.28,-26.18
1.490000000000001,0.02,-0.4,0.95,14.75,11.86,-14.24
1.500000000000001,-0.02,-0.41,0.93,16.52,16.61,1.31
1.5100000000000011,0.1,-0.38,0.94,13.08,21.28,13.54
1.5200000000000011,0.23,-0.35,0.89,8.44,26.72,16.26
1.5300000000000011,0.26,-0.31,0.83,5.37,27.5,13.85
1.5400000000000011,0.25,-0.28,0.76,0.34,20.92,6.58
1.5500000000000012,0.22,-0.25,0.77,-1.24,1.56,-3.24
1.5600000000000012,0.21,-0.26,0.82,0.69,-18.93,-11.74
1.5700000000000012,0.23,-0.28,0.89,5.54,-20.08,-19.5
1.5800000000000012,0.18,-0.31,0.93,12.73,-9.94,-21.22
1.5900000000000012,0.11,-0.33,0.94,18.69,5.33,-14.11
1.6000000000000012,0.08,-0.33,0.93,20.56,12.81,-6.46
1.6100000000000012,0.05,-0.3,0.89,16.56,13.31,1.92
1.6200000000000012,0.19,-0.27,0.88,7.27,5.79,3.37
1.6300000000000012,0.31,-0.24,0.89,4.82,3.42,-1.95
1.6400000000000012,0.29,-0.25,0.86,4.93,-0.53,-9.37
1.6500000000000012,0.24,-0.25,0.79,2.08,-6.72,-14.69
1.6600000000000013,0.17,-0.28,0.76,-2.63,-13.27,-16.84
1.6700000000000013,0.16,-0.29,0.81,-6.92,-19.91,-17.4
1.6800000000000013,0.17,-0.3,0.89,-5.74,-21.37,-17.25
1.6900000000000013,0.13,-0.3,0.96,-1.53,-17.94,-14.49
1.7000000000000013,0.1,-0.3,1.0,6.63,-6.92,-8.85
1.7100000000000013,0.11,-0.3,1.01,13.1,-0.96,-2.24
1.7200000000000013,0.14,-0.29,0.96,19.66,-2.63,1.79
1.7300000000000013,0.2,-0.27,0.87,16.96,-1.16,2.58
1.7400000000000013,0.24,-0.24,0.77,10.43,-9.27,1.27
1.7500000000000013,0.28,-0.21,0.72,-0.03,-13.31,-2.21
1.7600000000000013,0.27,-0.2,0.73,-9.37,-10.12,-4.34
1.7700000000000014,0.26,-0.2,0.77,-17.57,-9.77,-5.45
1.7800000000000014,0.24,-0.21,0.88,-18.26,-11.34,-6.99
1.7900000000000014,0.23,-0.23,0.98,-10.11,0.64,-7.27
1.8000000000000014,0.15,-0.24,0.98,-3.39,6.24,-4.43
1.8100000000000014,0.09,-0.26,0.98,3.4,3.25,1.13
1.8200000000000014,0.11,-0.27,0.99,7.73,2.31,6.21
1.8300000000000014,0.17,-0.26,0.93,10.69,-1.79,7.68
1.8400000000000014,0.19,-0.26,0.88,10.76,-6.95,7.04
1.8500000000000014,0.22,-0.24,0.78,5.1,-13.65,5.1
